2016-01-01 24,2000 25,7069
2016-01-02 No DATA
2016-01-03 No DATA
2016-01-04 24,3000 25,8398
2016-01-05 24,3000 25,8398
2016-01-06 24,4000 25,9067
2016-01-07 24,4000 25,9067
2016-01-08 24,4000 25,9067
2016-01-09 No DATA
2016-01-10 No DATA
2016-01-11 24,3000 25,8398
2016-01-12 24,3000 25,8398
2016-01-13 25,0000 25,9740
2016-01-14 25,2000 26,2467
2016-01-15 25,2000 26,2467
2016-01-16 No DATA
2016-01-17 No DATA
2016-01-18 26,0000 26,9542
2016-01-19 26,0000 26,9542
2016-01-20 26,1000 27,5482
2016-01-21 26,0000 27,0270
2016-01-22 26,3000 27,3224
2016-01-23 No DATA
2016-01-24 No DATA
2016-01-25 26,0000 27,0270
2016-01-26 26,0000 27,0270
2016-01-27 26,0000 26,8817
2016-01-28 25,9000 26,8097
2016-01-29 26,0000 26,8817
2016-01-30 No DATA
2016-01-31 No DATA
2016-02-01 26,0000 26,8817
2016-02-02 26,0000 26,8097
2016-02-03 26,0000 26,8097
2016-02-04 26,0000 26,8097
2016-02-05 26,0000 26,8817
2016-02-06 No DATA
2016-02-07 No DATA
2016-02-08 26,0000 26,8817
2016-02-09 26,0000 26,8817
2016-02-10 26,0000 26,8817
2016-02-11 26,1000 27,1003
2016-02-12 26,2000 27,2480
2016-02-13 No DATA
2016-02-14 No DATA
2016-02-15 26,3000 27,3224
2016-02-16 26,5000 27,5482
2016-02-17 26,4000 27,4725
2016-02-18 26,5000 27,5482
2016-02-19 26,4000 27,3224
2016-02-20 No DATA
2016-02-21 No DATA
2016-02-22 26,3000 27,3224
2016-02-23 26,5000 27,4725
2016-02-24 26,5000 27,4725
2016-02-25 26,5000 27,4725
2016-02-26 26,5000 27,3973
2016-02-27 No DATA
2016-02-28 No DATA
2016-02-29 26,5000 27,3973
2016-03-01 26,4000 27,3224
2016-03-02 26,4000 27,3224
2016-03-03 26,2000 27,0270
2016-03-04 26,0000 27,0270
2016-03-05 No DATA
2016-03-06 No DATA
2016-03-07 26,0000 27,0270
2016-03-08 26,0000 27,0270
2016-03-09 25,7000 26,8097
2016-03-10 25,6000 26,5957
2016-03-11 25,6000 26,5957
2016-03-12 No DATA
2016-03-13 No DATA
2016-03-14 25,6000 26,5957
2016-03-15 26,0000 27,0270
2016-03-16 26,0000 27,0270
2016-03-17 26,0000 26,9542
2016-03-18 25,8000 26,7380
2016-03-19 No DATA
2016-03-20 No DATA
2016-03-21 25,8000 26,7380
2016-03-22 25,7000 26,5957
